Time of beat occurence(seconds)	Signal value at beat(mV)
0.475	669.54
1.377	691.64
2.254	658.48
3.14	729.39
4.074	718.6
5.006	709.17
5.905	701.08
6.778	711.32
7.574	676.55
8.345	724.8
9.147	758.77
9.998	746.64
10.861	741.52
11.741	725.61
12.54	654.71
13.312	730.2
14.096	759.04
14.964	729.66
15.869	729.93
16.755	724.53
17.592	752.3
18.471	787.89
19.395	753.92
20.334	762.01
21.232	678.43
22.003	692.99
22.77	779.26
23.596	814.85
24.483	740.44
25.332	729.12
26.223	802.18
27.143	797.86
28.107	763.63
29.016	718.33
29.948	787.35
30.908	800.83
31.848	776.57
32.761	773.87
33.676	774.95
34.535	708.63
35.393	787.08
36.292	804.33
37.24	804.07
38.183	797.33
39.071	724.27
39.935	767.94
40.838	813.77
41.758	799.48
42.667	747.45
43.485	707.01
44.254	780.07
45.05	812.69
45.91	792.47
46.8	765.24
47.677	741.25
48.505	715.91
49.31	769.83
50.119	775.76
50.991	794.9
52.752	742.87
53.62	764.7
54.52	771.17
55.44	746.1
56.35	749.34
57.236	747.18
58.066	747.72
58.81	708.09
59.536	807.57
60.287	832.37
61.149	790.32
62.05	777.91
62.968	740.44
63.822	711.86
64.642	770.37
65.464	782.23
66.323	775.76
67.252	769.29
68.164	720.22
69.023	725.07
69.853	759.58
70.67	755.54
71.52	746.91
72.423	746.1
73.333	751.76
74.196	713.75
74.998	757.16
75.819	787.08
76.69	752.3
77.596	759.31
78.437	706.47
79.224	750.15
80.036	806.22
80.905	788.97
81.821	774.68
82.748	716.99
83.608	742.6
84.461	766.86
85.321	774.68
86.186	760.93
87.033	743.68
87.84	716.72
88.614	785.73
89.414	813.5
90.322	790.85
91.247	749.61
92.132	746.1
92.915	733.97
93.695	824.55
94.515	819.16
95.406	777.11
96.33	765.78
97.212	703.24
97.997	704.58
98.802	786.81
99.633	777.38
100.486	777.64
101.352	748.53
102.134	756.62
102.92	805.41
103.792	803.53
104.703	764.17
105.621	745.02
106.516	696.5
107.302	716.45
108.088	776.57
108.895	785.19
109.741	780.61
110.595	747.18
111.407	723.46
112.192	820.78
113.002	825.36
113.875	781.69
114.756	771.71
115.578	734.78
116.323	714.83
117.074	797.59
117.856	803.53
118.689	761.47
119.531	750.69
120.306	713.75
121.055	813.77
121.844	801.1
122.701	780.88
123.587	756.62
124.451	709.98
125.242	726.96
126.028	763.36
126.816	787.35
127.614	768.21
128.394	743.14
129.122	758.77
129.861	819.16
130.685	786
131.557	739.9
132.441	733.43
133.279	660.64
134.049	736.67
134.843	778.99
135.697	768.75
136.547	727.5
137.32	734.78
138.09	741.25
138.893	791.39
139.749	772.79
140.632	722.38
141.437	713.21
142.268	767.67
143.142	778.72
144.038	741.52
144.961	756.89
145.827	710.52
146.585	731.01
147.341	776.84
148.138	796.25
149.019	761.74
149.903	752.84
150.732	703.78
151.52	776.84
152.32	825.63
153.158	791.39
154.02	756.89
154.863	719.41
155.65	737.48
156.486	799.75
157.395	799.48
158.353	766.86
159.264	715.1
160.091	692.18
160.915	773.33
161.721	814.58
162.594	780.07
163.462	752.03
164.254	762.55
164.994	825.09
165.766	851.51
166.667	810.27
167.626	761.47
168.563	738.82
169.408	708.9
170.246	778.18
171.138	808.92
172.02	771.17
172.893	760.12
173.725	718.06
174.465	731.27
175.22	836.15
176.039	804.87
176.907	770.1
177.779	720.76
178.593	738.82
179.41	804.6
180.271	792.47
181.159	785.19
182.05	751.76
182.898	706.2
183.69	727.5
184.555	801.64
185.486	800.56
186.413	783.85
187.306	775.49
188.14	717.53
188.949	800.83
190.592	780.34
191.415	747.99
192.168	772.79
192.975	947.76
193.813	778.45
194.283	521.53
194.737	281.86
195.245	687.06
195.927	948.84
196.621	422.32
197.311	513.17
197.999	508.32
198.677	526.65
199.348	670.89
199.987	637.46
200.603	623.17
201.205	516.68
201.807	618.31
202.4	656.33
202.989	663.07
203.588	641.23
204.205	615.89
204.833	586.77
205.468	585.96
206.106	574.37
206.726	570.6
207.331	577.88
207.925	570.33
209.066	602.14
209.637	598.63
210.233	614.54
210.865	658.21
211.578	667.38
212.347	655.52
213.109	682.48
213.957	706.74
214.84	703.51
215.756	705.12
216.653	639.07
217.482	583
218.216	630.72
219.711	646.89
220.525	656.87
221.368	655.52
222.198	628.02
222.984	583.81
223.714	570.6
224.39	628.29
225.041	655.79
225.719	647.97
226.45	642.85
227.221	625.32
227.976	612.38
228.679	643.93
229.361	757.69
230.041	704.85
230.753	659.29
231.491	646.89
232.217	638.26
232.906	707.55
233.593	719.95
234.304	728.04
235.787	654.17
236.513	619.66
237.857	735.86
238.523	719.14
239.203	694.61
239.893	717.26
240.586	633.95
241.27	672.23
241.928	665.76
243.244	740.44
243.957	771.71
244.708	729.93
245.467	671.96
246.23	684.9
246.985	694.07
247.729	716.99
248.449	675.74
249.11	700
250.371	724.8
250.993	713.21
251.625	733.97
252.272	722.92
252.936	712.67
253.621	667.65
254.279	615.35
254.906	659.29
255.522	715.37
256.125	692.45
256.721	641.23
257.308	695.15
257.892	693.26
258.472	680.59
259.05	624.52
259.619	665.49
260.187	733.97
260.754	692.18
261.351	650.94
261.978	688.68
262.655	698.65
263.377	673.31
264.069	642.58
264.731	690.57
265.388	740.17
266.071	683.56
266.742	660.91
267.411	661.45
268.065	649.32
268.691	669.27
269.322	726.42
269.99	733.97
270.739	714.83
271.505	705.39
272.302	668.46
273.09	650.67
273.842	644.47
274.561	728.85
275.284	721.57
276.741	654.44
277.448	612.11
278.127	623.44
278.802	720.49
279.497	689.49
280.218	691.64
280.959	672.5
281.668	626.94
282.987	735.86
283.654	698.65
284.347	664.68
285.044	613.19
285.725	595.67
286.383	676.55
287.038	694.34
287.709	692.72
288.393	670.35
289.106	636.65
289.828	627.21
290.535	585.96
291.205	601.6
291.865	691.37
292.525	678.97
293.191	665.49
293.862	675.74
294.526	645.81
295.169	597.83
295.797	672.5
296.432	708.9
297.093	704.58
297.798	698.38
298.519	687.33
299.256	630.99
299.973	704.32
300.718	706.47
301.473	695.15
302.215	661.45
302.942	641.77
303.627	637.73
304.306	683.29
304.973	658.48
305.643	639.07
306.315	657.95
306.971	603.76
307.598	625.32
308.211	751.76
308.822	700.54
309.47	695.69
310.153	672.5
310.876	680.59
311.572	622.63
312.247	716.18
312.937	709.44
313.617	680.86
314.315	647.16
315.009	643.39
315.709	632.06
316.361	575.72
316.997	682.48
317.635	698.11
318.292	679.78
318.968	679.51
319.651	669.54
320.324	610.23
320.965	640.15
321.61	704.32
322.272	680.86
322.967	658.21
323.67	636.65
324.37	646.62
325.045	565.47
325.686	660.1
326.319	623.44
326.954	660.64
328.333	701.35
329.051	719.95
329.736	723.19
330.413	740.44
331.137	722.11
331.916	680.32
332.731	660.1
333.544	619.66
334.344	602.41
335.085	577.07
335.772	672.5
336.443	640.69
337.094	620.47
337.749	629.64
339.033	577.34
339.661	632.06
340.931	645.27
341.599	621.01
342.295	644.47
343.004	621.01
343.681	613.46
344.344	664.15
345.005	642.04
